COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_00198118,CO,Arapahoe,53%,35%,64%,55%,72%,71%,67%,88%,123%,41%,48%,41%,61%,52%,16%,76%,50%
ID_00198119,CO,Archuleta,,,100%,,,67%,,100%,,,,,,,100%,,
ID_00198120,CO,Baca,,,,,,,,,,,,,,,100%,,
ID_00198121,CO,Bent,,,,,,,,,,0%,,,,,,100%,
ID_00198122,CO,Boulder,100%,100%,100%,,,100%,57%,29%,50%,67%,133%,100%,75%,100%,67%,100%,67%
ID_00198123,CO,Chaffee,,,100%,,,,100%,,,,100%,,,,,,100%
ID_00198124,CO,Cheyenne,,,,,,,,,100%,,,,,,,,
ID_00198125,CO,Clear Creek,100%,,100%,,,,,,,,,,,,0%,0%,
ID_00198126,CO,Conejos,,,,100%,,,,,,,,,,,,,
ID_00198128,CO,Crowley,100%,,,,,,,,,,,,,,,,
ID_00198129,CO,Custer,,,,,,,,,,,,,,0%,,,
ID_00198130,CO,Delta,,,,0%,,,,,,100%,50%,100%,,0%,,,
ID_00198131,CO,Denver,68%,53%,52%,61%,77%,59%,76%,71%,93%,34%,16%,14%,51%,49%,45%,51%,41%
ID_00198132,CO,Dolores,,100%,,,,,,,,,,,,,,,
ID_00198133,CO,Douglas,25%,50%,50%,,100%,100%,,,67%,50%,60%,100%,50%,0%,100%,100%,100%
ID_00198134,CO,Eagle,,100%,100%,100%,50%,,,100%,100%,,,100%,,,,100%,
ID_00198135,CO,El Paso,78%,74%,61%,68%,90%,84%,63%,86%,87%,79%,89%,71%,71%,63%,74%,68%,89%
ID_00198136,CO,Elbert,,,,,,,,,,,,,,,,0%,
ID_00198137,CO,Fremont,,0%,0%,,,100%,100%,,33%,0%,0%,,100%,,100%,100%,
ID_00198138,CO,Garfield,33%,100%,100%,0%,100%,,,0%,,50%,0%,,,0%,100%,,
ID_00198139,CO,Gilpin,,,100%,,,,,,,,,,,,,100%,100%
ID_00198140,CO,Grand,,,,,,,100%,,,,,,,,,,100%
ID_00198141,CO,Gunnison,,,100%,100%,,,,,,,,,,100%,,,
ID_00198142,CO,Hinsdale,,,,,,,,,0%,,,,,,100%,,
ID_00198143,CO,Huerfano,,,100%,100%,,,,,,,,100%,100%,100%,0%,,
ID_00198145,CO,Jefferson,114%,80%,100%,91%,71%,79%,100%,87%,100%,100%,86%,90%,71%,79%,56%,89%,29%
ID_00198147,CO,Kit Carson,50%,,,,,100%,,,,,,,,,,,
ID_00198148,CO,La Plata,100%,50%,,100%,0%,,,,0%,33%,50%,100%,100%,,,,
ID_00198149,CO,Lake,100%,,,,,,100%,,,,,,,,,,
ID_00198150,CO,Larimer,111%,71%,100%,100%,100%,100%,100%,67%,120%,75%,100%,100%,150%,100%,100%,100%,100%
ID_00198151,CO,Las Animas,,,,,,,,100%,100%,0%,,,,,100%,,
ID_00198152,CO,Lincoln,,,,,,100%,,,,,,,,,,,
ID_00198153,CO,Logan,,100%,100%,,50%,,100%,,,,,,0%,,,100%,
ID_00198154,CO,Mesa,78%,0%,33%,75%,80%,100%,100%,100%,100%,100%,67%,100%,100%,67%,100%,100%,33%
ID_00198155,CO,Mineral,,,,,,,,,,,,,,100%,,,
ID_00198156,CO,Moffat,,,,,100%,,,,,,,,100%,,,,
ID_00198157,CO,Montezuma,0%,,,100%,100%,,100%,50%,100%,67%,0%,100%,100%,100%,,100%,50%
ID_00198158,CO,Montrose,,,100%,,50%,50%,50%,100%,100%,100%,0%,100%,,50%,,100%,
ID_00198159,CO,Morgan,,100%,,,,,50%,,,,100%,,,,,,67%
ID_00198160,CO,Otero,100%,100%,,0%,,,,,,,100%,0%,,100%,,,
ID_00198162,CO,Park,0%,100%,,100%,,,,,,100%,100%,,0%,,100%,100%,
ID_00198163,CO,Phillips,,,,,,,,,,,,,100%,,,,
ID_00198164,CO,Pitkin,,,100%,,,,,,,,,0%,,,,100%,
ID_00198165,CO,Prowers,,,,100%,,,,100%,,,,,,100%,,,
ID_00198166,CO,Pueblo,9%,58%,80%,20%,63%,78%,75%,100%,50%,57%,33%,13%,63%,86%,57%,57%,0%
ID_00198167,CO,Rio Blanco,,,,,,,,0%,,,,,,0%,,,
ID_00198168,CO,Rio Grande,,,100%,,0%,,,100%,100%,,,,,,,,100%
ID_00198169,CO,Routt,,100%,,100%,100%,,100%,50%,,100%,,,,,,,100%
ID_00198170,CO,Saguache,100%,,,,,,,,100%,,,,100%,,50%,100%,
ID_00198171,CO,San Juan,,,100%,,,,,,,,,,,,,,
ID_00198173,CO,Sedgwick,100%,,,,,,,,,,,,,,,,
ID_00198174,CO,Summit,100%,100%,0%,50%,0%,,0%,100%,,,,,,,,,100%
ID_00198175,CO,Teller,,,,100%,,0%,,,,50%,,100%,50%,,,,100%
ID_00198176,CO,Washington,,,,,,,,,,,,,,,,,100%
ID_00198177,CO,Weld,150%,40%,80%,200%,67%,43%,0%,71%,100%,100%,100%,63%,89%,67%,63%,71%,0%
ID_00198178,CO,Yuma,,,,,100%,,,,,,,,,,,,
ID_00212338,CT,Hartford,73%,84%,90%,79%,59%,67%,49%,60%,64%,27%,54%,59%,58%,77%,45%,50%,54%
ID_00212668,CT,Tolland,100%,,,0%,,,,50%,100%,50%,,,,,,,
ID_00212794,CT,Fairfield,57%,61%,95%,50%,67%,56%,65%,72%,57%,73%,53%,66%,48%,57%,60%,70%,78%
ID_00212796,CT,Litchfield,100%,100%,100%,0%,100%,,,0%,100%,100%,0%,,25%,,67%,100%,
ID_00212797,CT,Middlesex,100%,50%,100%,100%,0%,0%,,100%,133%,,50%,33%,50%,,,50%,100%
ID_00212798,CT,New Haven,35%,40%,62%,61%,85%,56%,53%,70%,44%,32%,53%,38%,57%,67%,67%,64%,64%
ID_00212799,CT,New London,167%,80%,,175%,100%,100%,140%,100%,50%,40%,80%,150%,100%,100%,60%,100%,0%
ID_00212801,CT,Windham,,,,,,,,,,100%,,,0%,,100%,50%,
ID_00217269,DE,Sussex,40%,100%,88%,0%,67%,100%,75%,100%,67%,20%,100%,70%,0%,75%,86%,0%,100%
ID_00217270,DE,New Castle,51%,58%,34%,48%,46%,51%,49%,61%,42%,46%,56%,52%,39%,42%,70%,80%,70%
ID_00217271,DE,Kent,67%,50%,75%,100%,50%,114%,117%,25%,63%,83%,63%,75%,100%,40%,33%,100%,100%
ID_00277273,CA,El Dorado,150%,111%,67%,60%,33%,100%,167%,67%,163%,150%,150%,60%,250%,200%,175%,100%,133%
ID_00277274,CA,Fresno,44%,47%,78%,72%,68%,85%,86%,65%,66%,68%,64%,52%,58%,54%,66%,49%,61%
ID_00277275,CA,Glenn,100%,67%,100%,,,0%,0%,,0%,50%,0%,,,100%,,,100%
ID_00277277,CA,Imperial,100%,0%,33%,50%,67%,100%,67%,33%,63%,75%,33%,,100%,58%,0%,40%,25%
