COUNTYNS,ST,COUNTY,YEAR,MRD,CLR,RATE
00025446,AZ,Pima,2004,1,1,1
00025446,AZ,Pima,2005,2,0,0
00025446,AZ,Pima,2005,55,30,0.545454545
00025446,AZ,Pima,2005,20,18,0.9
00025446,AZ,Pima,2005,1,2,2
00025446,AZ,Pima,2006,5,0,0
00025446,AZ,Pima,2006,51,35,0.68627451
00025446,AZ,Pima,2006,18,15,0.833333333
00025446,AZ,Pima,2006,1,1,1
00025446,AZ,Pima,2007,2,0,0
00025446,AZ,Pima,2007,49,35,0.714285714
00025446,AZ,Pima,2007,25,22,0.88
00025446,AZ,Pima,2007,0,1,
00025446,AZ,Pima,2008,2,0,0
00025446,AZ,Pima,2008,65,38,0.584615385
00025446,AZ,Pima,2008,28,23,0.821428571
00025446,AZ,Pima,2008,1,1,1
00025446,AZ,Pima,2009,4,0,0
00025446,AZ,Pima,2009,35,22,0.628571429
00025446,AZ,Pima,2009,2,2,1
00025446,AZ,Pima,2009,18,19,1.055555556
00025446,AZ,Pima,2009,0,1,
00025446,AZ,Pima,2010,5,0,0
00025446,AZ,Pima,2010,51,33,0.647058824
00025446,AZ,Pima,2010,27,20,0.740740741
00025446,AZ,Pima,2011,9,0,0
00025446,AZ,Pima,2011,3,1,0.333333333
00025446,AZ,Pima,2011,2,1,0.5
00025446,AZ,Pima,2011,51,33,0.647058824
00025446,AZ,Pima,2011,16,15,0.9375
00025446,AZ,Pima,2012,3,0,0
00025446,AZ,Pima,2012,13,5,0.384615385
00025446,AZ,Pima,2012,42,30,0.714285714
00025446,AZ,Pima,2012,0,1,
00025446,AZ,Pima,2013,9,0,0
00025446,AZ,Pima,2013,5,2,0.4
00025446,AZ,Pima,2013,16,8,0.5
00025446,AZ,Pima,2013,47,29,0.617021277
00025446,AZ,Pima,2013,2,3,1.5
00025446,AZ,Pima,2014,4,2,0.5
00025446,AZ,Pima,2014,35,24,0.685714286
00025446,AZ,Pima,2014,12,11,0.916666667
00025446,AZ,Pima,2015,2,0,0
00025446,AZ,Pima,2015,3,1,0.333333333
00025446,AZ,Pima,2015,10,8,0.8
00025446,AZ,Pima,2015,31,25,0.806451613
00025446,AZ,Pima,2015,2,3,1.5
00025446,AZ,Pima,2016,1,0,0
00025446,AZ,Pima,2016,30,14,0.466666667
